countryregion,continent,confirmed,deaths
Afghanistan,Asia,21,0
Albania,Europe,51,1
Algeria,Africa,54,4
Andorra,Europe,2,0
Antigua and Barbuda,America,1,0
Argentina,America,56,2
Armenia,Asia,52,0
Aruba,America,2,0
Australia,Australia,377,3
Austria,Europe,1018,3
Azerbaijan,Asia,15,1
Bahrain,Asia,214,1
Bangladesh,Asia,8,0
Belarus,Europe,36,0
Belgium,Europe,1058,5
Benin,Africa,1,0
Bhutan,Asia,1,0
Bolivia,America,11,0
Bosnia and Herzegovina,Europe,25,0
Brazil,America,200,0
Brunei,Asia,54,0
Bulgaria,Europe,52,2
Burkina Faso,Africa,15,0
Cambodia,Asia,7,0
Cameroon,Africa,4,0
Canada,America,415,4
Central African Republic,Africa,1,0
Chile,America,155,0
China,Asia,81033,3217
Colombia,America,54,0
Congo,Africa,3,0
Costa Rica,America,35,0
Cote d'Ivoire,Africa,1,0
Croatia,Europe,57,0
Cuba,America,4,0
Cyprus,Europe,33,0
Czechia,Europe,298,0
Denmark,Europe,932,3
Dominican Republic,America,11,0
Ecuador,America,37,2
Egypt,Africa,150,2
Equatorial Guinea,Africa,1,0
Estonia,Europe,205,0
Eswatini,Africa,1,0
Ethiopia,Africa,5,0
Finland,Europe,277,0
France,Europe,6650,148
French Guiana,America,11,0
Gabon,Africa,1,0
Georgia,Asia,33,0
Germany,Europe,7272,17
Ghana,Africa,6,0
Greece,Europe,331,4
Guadeloupe,America,6,0
Guam,Australia,3,0
Guatemala,America,2,1
Guernsey,Europe,1,0
Guinea,Africa,1,0
Guyana,America,4,1
Honduras,America,6,0
Hungary,Europe,39,1
Iceland,Europe,180,0
India,Asia,119,2
Indonesia,Australia,134,5
Iran,Asia,14991,853
Iraq,Asia,124,10
Ireland,Europe,169,2
Israel,Asia,255,0
Italy,Europe,27980,2158
Jamaica,America,10,0
Japan,Asia,825,27
Jersey,Europe,2,0
Jordan,Asia,17,0
Kazakhstan,Asia,10,0
Kenya,Africa,3,0
"Korea, South",Asia,8236,75
Kosovo,Europe,2,0
Kuwait,Asia,123,0
Latvia,Europe,34,0
Lebanon,Asia,99,3
Liberia,Africa,1,0
Liechtenstein,Europe,4,0
Lithuania,Europe,17,0
Luxembourg,Europe,77,1
Malaysia,Asia,566,0
Maldives,Asia,13,0
Malta,Europe,30,0
Martinique,America,15,1
Mauritania,Africa,1,0
Mayotte,Africa,1,0
Mexico,America,53,0
Moldova,Europe,23,0
Monaco,Europe,7,0
Mongolia,Asia,1,0
Morocco,Africa,29,1
Namibia,Africa,2,0
Nepal,Asia,1,0
Netherlands,Europe,1414,24
New Zealand,Australia,8,0
Nigeria,Africa,2,0
North Macedonia,Europe,18,0
Norway,Europe,1333,3
Oman,Asia,22,0
Pakistan,Asia,136,0
Panama,America,55,1
Paraguay,America,8,0
Peru,America,86,0
Philippines,Australia,142,12
Poland,Europe,177,4
Portugal,Europe,331,0
Puerto Rico,America,3,0
Qatar,Asia,439,0
Republic of the Congo,Africa,1,0
Reunion,Africa,9,0
Romania,Europe,158,0
Russia,Asia,90,0
Rwanda,Africa,5,0
Saint Lucia,America,2,0
Saint Vincent and the Grenadines,America,1,0
San Marino,Europe,109,7
Saudi Arabia,Asia,118,0
Senegal,Africa,24,0
Serbia,Europe,55,0
Seychelles,Africa,3,0
Singapore,Asia,243,0
Slovakia,Europe,63,0
Slovenia,Europe,253,1
Somalia,Africa,1,0
South Africa,Africa,62,0
Spain,Europe,9942,342
Sri Lanka,Asia,28,0
Sudan,Africa,1,1
Suriname,America,1,0
Sweden,Europe,1103,6
Switzerland,Europe,2200,14
Taiwan,Asia,67,1
Tanzania,Africa,1,0
Thailand,Asia,147,1
The Bahamas,America,1,0
Togo,Africa,1,0
Trinidad and Tobago,America,4,0
Tunisia,Africa,20,0
Turkey,Asia,18,0
US,America,4632,85
Ukraine,Europe,7,1
United Arab Emirates,Asia,98,0
United Kingdom,Europe,1551,56
Uruguay,America,8,0
Uzbekistan,Asia,6,0
Venezuela,America,17,0
Vietnam,Asia,61,0
